CS101,مبانی برنامه‌سازی,دانشکده مهندسی کامپیوتر,دکتر احمدی,3,۱۴۰۴-۱,40,آشنایی با مفاهیم اولیه برنامه‌نویسی با Python
CS102,ساختمان داده,دانشکده مهندسی کامپیوتر,دکتر رضایی,3,۱۴۰۴-۱,35,بررسی لیست، پشته، صف، درخت و گراف
CS201,طراحی الگوریتم,دانشکده مهندسی کامپیوتر,دکتر محمدی,3,۱۴۰۴-۱,35,الگوریتم‌های حریصانه، تقسیم و حل و پویا
CS202,پایگاه داده,دانشکده مهندسی کامپیوتر,دکتر کریمی,3,۱۴۰۴-۱,40,SQL، نرمال‌سازی و طراحی پایگاه داده
CS301,سیستم‌عامل,دانشکده مهندسی کامپیوتر,دکتر حسینی,3,۱۴۰۴-۱,30,فرآیندها، حافظه و زمان‌بندی
CS302,شبکه‌های کامپیوتری,دانشکده مهندسی کامپیوتر,دکتر صالحی,3,۱۴۰۴-۱,30,مدل TCP/IP، مسیریابی و امنیت پایه
CS303,امنیت اطلاعات,دانشکده مهندسی کامپیوتر,دکتر بهرامی,3,۱۴۰۴-۱,25,رمزنگاری، احراز هویت و امنیت شبکه
CS304,هوش مصنوعی,دانشکده مهندسی کامپیوتر,دکتر شریفی,3,۱۴۰۴-۱,30,جستجو، یادگیری ماشین و سیستم‌های هوشمند
CS305,مهندسی نرم‌افزار,دانشکده مهندسی کامپیوتر,دکتر ابراهیمی,3,۱۴۰۴-۱,35,چرخه حیات نرم‌افزار، متدولوژی‌های چابک و طراحی شی‌گرا
CS306,یادگیری ماشین,دانشکده مهندسی کامپیوتر,دکتر هاشمی,3,۱۴۰۴-۱,25,رگرسیون، شبکه‌های عصبی و خوشه‌بندی داده‌ها
CS401,پردازش تصویر,دانشکده مهندسی کامپیوتر,دکتر عباسی,3,۱۴۰۴-۱,20,فیلترهای دیجیتال، لبه‌یابی و بهبود کیفیت تصاویر
CS402,رایانش ابری,دانشکده مهندسی کامپیوتر,دکتر علیزاده,3,۱۴۰۴-۱,30,معماری سیستم‌های ابری، مجازی‌سازی و خدمات AWS
CS403,کامپایلر,دانشکده مهندسی کامپیوتر,دکتر قربانی,3,۱۴۰۴-۱,35,تحلیل لغوی، نحو و تولید کد ماشین
EE201,مدارهای الکتریکی,دانشکده مهندسی برق,دکتر موسوی,3,۱۴۰۴-۱,35,تحلیل مدارهای DC و AC
EE202,الکترونیک ۱,دانشکده مهندسی برق,دکتر قاسمی,2,۱۴۰۴-۱,40,بررسی دیودها، ترانزیستورهای BJT و FET
EE301,سیستم‌های کنترل خطی,دانشکده مهندسی برق,دکتر فرخی,3,۱۴۰۴-۱,30,پاسخ زمانی، مکان هندسی ریشه‌ها و پایداری سیستم‌ها
EE302,سیگنال‌ها و سیستم‌ها,دانشکده مهندسی برق,دکتر اکبری,3,۱۴۰۴-۱,35,سری و تبدیل فوریه، تحلیل سیستم‌های LTI
EE401,مخابرات ۱,دانشکده مهندسی برق,دکتر صبوری,2,۱۴۰۴-۱,25,مدولاسیون آنالوگ AM و FM و تحلیل نویز
MATH101,ریاضی عمومی ۱,دانشکده علوم پایه,دکتر صادقی,2,۱۴۰۴-۱,60,حد، پیوستگی، مشتق و انتگرال توابع یک متغیره
MATH102,ریاضی عمومی ۲,دانشکده علوم پایه,دکتر راد,3,۱۴۰۴-۱,55,توابع چند متغیره، انتگرال دوگانه و سه‌گانه
MATH201,ریاضیات مهندسی,دانشکده علوم پایه,دکتر نادری,3,۱۴۰۴-۱,45,معادلات دیفرانسیل و تبدیل لاپلاس
MATH202,معادلات دیفرانسیل,دانشکده علوم پایه,دکتر غفاری,3,۱۴۰۴-۱,50,معادلات مرتبه اول و دوم، روش سری‌های توانی
MATH203,جبر خطی,دانشکده علوم پایه,دکتر طاهری,3,۱۴۰۴-۱,40,ماتریس‌ها، فضاهای برداری و مقادیر ویژه
STAT101,آمار و احتمال,دانشکده علوم پایه,دکتر زمانی,3,۱۴۰۴-۱,40,احتمال، توزیع‌ها و آزمون فرض
CE101,مبانی عمران,دانشکده مهندسی عمران,دکتر رستمی,2,۱۴۰۴-۱,50,آشنایی با رشته مهندسی عمران
CE201,استاتیک,دانشکده مهندسی عمران,دکتر کریمیان,3,۱۴۰۴-۱,40,تعادل نیروها، خرپاها و ممان اینرسی
CE202,مقاومت مصالح,دانشکده مهندسی عمران,دکتر نظری,3,۱۴۰۴-۱,35,تنش، کرنش و تحلیل تیرهای تحت بارگذاری
CE301,مکانیک خاک,دانشکده مهندسی عمران,دکتر خسروی,3,۱۴۰۴-۱,30,خواص فیزیکی خاک، تحکیم و مقاومت برشی
ME101,نقشه کشی صنعتی,دانشکده مهندسی مکانیک,دکتر زارعی,2,۱۴۰۴-۱,30,اصول رسم فنی و نقشه‌کشی با نرم‌افزار SolidWorks
ME201,ترمودینامیک ۱,دانشکده مهندسی مکانیک,دکتر جلالی,3,۱۴۰۴-۱,40,قوانین اول و دوم ترمودینامیک و چرخه‌های توان
ME202,مکانیک سیالات ۱,دانشکده مهندسی مکانیک,دکتر سلطانی,3,۱۴۰۴-۱,35,استاتیک و دینامیک سیالات، معادله برنولی
ME301,انتقال حرارت ۱,دانشکده مهندسی مکانیک,دکتر محمودی,3,۱۴۰۴-۱,30,انتقال حرارت هدایتی، جابجایی و تابشی
IE101,مبانی مهندسی صنایع,دانشکده مهندسی صنایع,دکتر ملک‌پور,2,۱۴۰۴-۱,45,تاریخچه و اصول کلی مهندسی صنایع و بهینه‌سازی
IE201,تحقیق در عملیات ۱,دانشکده مهندسی صنایع,دکتر فلاح,3,۱۴۰۴-۱,40,برنامه‌ریزی خطی، روش سیمپلکس و مسائل حمل و نقل
IE301,کنترل پروژه,دانشکده مهندسی صنایع,دکتر صابری,3,۱۴۰۴-۱,35,روش‌های CPM و PERT در برنامه‌ریزی و زمان‌بندی پروژه
